Smiles,Standard Value,Standard Units,Molecule ChEMBL ID,value_nm,LogP,TPSA,MW,pIC50
CN(C)CC1CC2c3cccc(F)c3Cc3ccccc3N2O1,2.291,nM,CHEMBL82966,2.291,3.5431000000000026,15.71,312.38800000000003,8.639974910810603
COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4CCCC(=O)O)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC,5.0,nM,CHEMBL94788,5.0,7.002600000000008,123.43000000000002,751.7080000000001,8.301029995663981
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,3.0,nM,CHEMBL511,3.0,2.658400000000001,28.6,285.391,8.522878745280337
COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccccn4)CC3)(c3ccc(Cl)c(Cl)c3)C2)cc(OC)c1OC.CS(=O)(=O)O,437.0,nM,CHEMBL431850,437.0,7.085100000000009,153.39,852.8380000000001,6.359518563029578
c1ccc2c(c1)Cc1ccccc1N1OC(CN3CCCC3)CC21,3.02,nM,CHEMBL316438,3.02,3.938200000000003,15.71,320.43600000000015,8.51999305704285
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,5176.8,nM,CHEMBL404849,5176.8,5.559100000000006,32.26,337.5730000000001,5.285938613185849
COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4CCOCc4ccco4)CC3)(c3ccccc3)C2)cc(OC)c1OC,6.35,nM,CHEMBL95076,6.35,6.6408000000000085,108.50000000000001,720.867,8.197226274708024
COc1ccc2c(c1)C1CC(CN(C)C)ON1c1ccccc1C2,14.45,nM,CHEMBL315044,14.45,3.412600000000002,24.940000000000005,324.42400000000004,7.840132152907433
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,24.0,nM,CHEMBL728,24.0,4.580200000000004,9.72,373.95300000000015,7.619788758288394
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,4.912,nM,CHEMBL42,4.912,3.7227000000000023,30.869999999999997,326.83100000000013,8.308741641866888
